"barcode","speciesFolderId","imageCount","verbatimFamily","verbatimSpecies","verbatimAuthorSpecimen","verbatimGenus","verbatimRank2","verbatimSpecies2","verbatimAuthor2","verbatimRank3","verbatimSpecies3","verbatimAuthor3","countryId","verbatimCountry","stateProvinceTerritory","municipality","verbatimLocality","latLongUnitId","isGPS","latitudeDeg","latitudeMin","latitudeSec","latitudeHem","longitudeDeg","longitudeMin","longitudeSec","longitudeHem","longitudeHemDecimalMinutes","latitudeHemDecimalMinutes","longitudeDecimalDegrees","latitudeDecimalDegrees","latitudeDegreesDecMins","latitudeMinutesDecMins","longitudeDegreesDecMins","longitudeMinutesDecMins","verbatimLatitude","verbatimLongitude","gridRef","altitudeUnitId","altitude","altitudeMax","altitudeMin","verbatimAltitude","collectorId1","collectorId2","collectorId3","collectorId4","collectorId5","verbatimCollector1","verbatimCollector2","verbatimCollector3","verbatimCollector4","verbatimCollector5","collectorNumber","collectionDD","collectionMM","collectionYYYY","collectionDD2","collectionMM2","collectionYYYY2","verbatimCollectionDate","speciesHomonymFlag","cultivated","multiSpecimenNoBarcode","multiSpecimen","additionalBarcode","obscured","restrictions","testData","isSpecimenAType","specimenIsPhoto","specimenIsIllustration","specimenIsCapsule","isNonRomanScript","MSBSerialNumber","LCDNumber","DNABankNumber","specimenNotes","capturerId","captureStationId","captureTimeStamp","captureNotes","transcriberId","transcriptionTimeStamp","imageStateId","transcriptionStateId","kewImageQAUserId","maxImageQAUserId","kewTranscriptionQAUserId","kewImageQATimeStamp","maxImageQATimeStamp","kewTranscriptionQATimeStamp","currentlyBeingEditedby","cultName","cultMM","cultMM2","cultDD","cultDD2","cultYYYY","cultYYYY2","cultCountry","cultVerbatimLocality","cultVerbatimDate","collectorIdCultivated","cultVerbCollectName","cultCollectNum","cultInstitution","cultVerbInstName","requiresRemounting","isDamaged","requiresReview","imagedByMax","singleViewedBy","url","lastSpecimenState","lastModified","deliveredOnDate","boxId","speciesId","family","genus","species","collector","AI_ERROR","AI_verbatim","AI_barcode","AI_collector","AI_collectorNumber","AI_collector1","AI_collector2","AI_collector3","AI_collector4","AI_collectionDate","AI_collectionYYYY","AI_collectionMM","AI_collectionDD","AI_family","AI_genus","AI_species","AI_taxon_name","AI_altitude","AI_altitudeUnit","AI_country","AI_stateProvinceTerritory","AI_location","AI_latitude","AI_longitude","AI_language","AI_specimenNotesSpanish","AI_specimenNotesEnglish","collectionNumber","AI_collectoinNumber"
"V0206622F","1001","1","0","0","0","0","0","0","0","0","0","0","219",,,,"Campa Indians; Ošerato/Tambo","0","0",,,,,,,,,,,,,,,,,,,,"0","0",,,,"0","0","0","0","0","[G. Weiss]",,,,,"267","20","7","1964",,,,"20-VII-64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","2021-10-05 12:32:09","0","40","2024-07-30 06:25:52","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/725/683/V0206622F.jpg","0","2024-07-30 16:55:24","1000-01-01 00:00:00","0","0","ANNONACEAE","Kiápa","[indet]",,"OK","The Field Museum 1874767 FIELD MUSEUM OF NATURAL HISTORY PLANTS OF THE CAMPA INDIANS, PERU Collector: G. Weiss (267) Place of collection: Oxerato/Tambo Peru Date of collection: 20-VII-64 Cultivated Wild X Tree xxx Shrub Vine Fungus Parasite Native name: kñapa Spanish name: none General notes: none ANNONACEAE","1874767","G. Weiss","267","G. Weiss","none","none","none","20-VII-64","1964","7","20","ANNONACEAE","none","none","none","none","none","Peru","none","Oxerato/Tambo","none","none","Spanish","none","none",,
"V0312798F","1000","1","0","0","0","0","0","0","0","0","0","0","219",,"La Libertad",,"Prov. Bolívar. Arriba de Longotea, ruta a Bolívar.","1","0","7","04",,"S","77","53",,"W",,,,,,,,,,,,"1","0",,"3100",,"0","327060","35383","0","0","I. Sánchez V.",,,,,"11125","9","11","2001",,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","2021-10-05 12:32:09","0","40","2024-07-30 10:26:51","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/896/676/V0312798F.jpg","0","2024-07-31 08:52:27","1000-01-01 00:00:00","0","0","Boraginaceae",,"[indet]",,"OK","Field Museum of Natural History (F) Boraginaceae Lbl. M. Nee, 2006 No. 2234143 FIELD MUSEUM OF NATURAL HISTORY PLANTAS DEL PERU Universidad Nacional de Cajamarca (CPUN) Depto. La Libertad: Prov. Bolivar. Arriba de Longotea, ruta a Bolivar. 7°04'S, 77°58'W Alt. 3100 m Arbusto piloso, flores amarillo verduzco. I. Sánchez V. 11125 con M. Dillon, G. Ibérico 09 Nov 2001","none","I. Sánchez V.","11125","I. Sánchez V.","M. Dillon","G. Ibérico","none","09 Nov 2001","2001","11","9","Boraginaceae","none","none","none","3100","m","Peru","La Libertad","Prov. Bolivar. Arriba de Longotea, ruta a Bolivar.","-7.067","-77.967","Spanish","Arbusto piloso, flores amarillo verduzco.","Hairy shrub, yellow-greenish flowers.",,
"V0324943F","999","1","0","0","0","0","0","0","0","0","0","0","219",,"Loreto",,"Puerto Margarita, Requena","0","0",,,,,,,,,,,,,,,,,,,,"1","0",,"223",,"104632","0","0","0","0",,,,,,"6413","19","4","1964",,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","2021-10-05 12:32:09","0","40","2024-07-29 09:43:09","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/954/563/V0324943F.jpg","0","2024-07-30 09:14:57","1000-01-01 00:00:00","0","1168453",,"Pouteria","glauca",,"OK","The Field Museum FLORA NEOTROPICA Pouteria glauca Pennington T.D. PENNINGTON 1986 1733036 FIELD MUSEUM OF NATURAL HISTORY Departmets of Botany and Pharmacoloy Plant Collections from South America Perú: Loreto: Puerto Margarita, Requena, 223 at edge of primary swamp, shrub 3m. high; fruit dark orange yellow; latex, clear Perú ( Fruit 7.5 / 6/9 ) José Schunke Vigo(443) - 19 April 1964","none","José Schunke Vigo","443","José","Schunke","Vigo","none","19 April 1964","1964","4","19","none","Pouteria","glauca","Pouteria glauca","223","m","Perú","Loreto","Puerto Margarita, Requena","none","none","Spanish","a la orilla de un pantano primario, mata 3 m. de alta; fruta de color naranja oscuro amarillo; látex, claro","at the edge of primary swamp, shrub 3m. high; fruit dark orange yellow; latex, clear",,
"V0234892F","998","1","0","0","0","0","0","0","0","0","0","0","219",,"Huánuco",,"Prov. Leoncio Prado; Dtto: Rupa Rupa; Al este de Tingo María.","0","0",,,,,,,,,,,,,,,,,,,,"1","0",,"700",,"104632","0","0","0","0",,,,,,"5186","24","11","1971",,,,"Noviembre 24, 1971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sheet 1 of 2; Holotype","0","0","2021-10-05 12:32:09","0","40","2024-07-30 13:05:56","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/773/457/V0234892F.jpg","0","2024-07-31 00:43:46","1000-01-01 00:00:00","0","1125169",,"Palicourea","levis",,"OK","The Field Museum 1752195 PALICOURES SAVIS STANDLEY “Psychotria huascaro” is apparently Determined by C.M. Taylor, 1997 Missouri Botanical Garden (MO) This specimen accompanied by separate wood collection. Field Museum 67586 Herbario Field Museum of Natural History PERU Field Museum of Natural History, Servicio Forestal y de Caza del PerU Dpto. Huánuco: Prov. Leoncio Prado Dist: Lupa Rupa PALICOURES ASPERIFOLIA DC subt. nov.? “Arbol de 4-15 metros. Flores blancas; parte de anbre blancas; anteras y estigma blancas. Las Lámias de las hojas ondulads brillosas con color verde amarillo. Diámetro de tronco 12” 15”. En bosque alto. Al este de Tingo María. Altura sobre el mar 700 metros. Coll. Jose Schunke V. 5186 Noviembre 24, 1971 Field Museum of Natural History 1752195","1752195","Jose Schunke V.","5186","Jose Schunke V.","none","none","none","Noviembre 24, 1971","1971","11","24","none","Palicourea","savis Standley","Palicourea savis Standley","700","meters","Peru","Huánuco","Leoncio Prado, Lupa Rupa","none","none","Spanish","Arbol de 4-15 metros. Flores blancas; parte de anbre blancas; anteras y estigma blancas. Las Lámias de las hojas ondulads brillosas con color verde amarillo. Diámetro de tronco 12” 15”. En bosque alto. Al este de Tingo María. Altura sobre el mar 700 metres.","Tree of 4-15 meters. White flowers; white parts of the anther and stigma. The blades of the leaves are wavy and shiny with yellowish-green color. Trunki diameter 12” 15”. In high forest. To the east of Tingo María. Altitude about 700 meters.",,
"V0257206F","997","1","0","0","0","0","0","0","0","0","0","0","219",,"Pasco",,"Oxapampa; Distrito Huancabamba. Localidad de Lanturachi, sector Santa Barbara.","1","0","10","20",,"S","075","40",,"W",,,,,,,,,,,,"1","0",,"3414",,"336060","328397","15494","191626","0",,,,,,"0582","10","10","2003",,,,"10 Octubre 2003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","2021-10-05 12:32:09","0","40","2024-07-28 08:01:05","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/759/702/V0257206F.jpg","0","2024-07-29 07:15:50","1000-01-01 00:00:00","0","596595","Gentianaceae","Halenia","bella",,"OK","The Field Museum Gentianaceae Halenia bella Gilg Det. J.S. Pringle (HAM), 2006 Pasco: Oxapampa Distrito Huancabamba. Localidad de Lanturachi, sector Santa Barbara Bosque pajonal enano 10°20'S 75°04'W 3414 m Hierba terrestre, flores verdes 10 Octubre 2003 J. Perea R. Francis, C. Mateo, G. Ortiz 0582 Missouri Botanical Garden Herbarium (MO) N° 2275924 FIELD MUSEUM OF NATURAL HISTORY","none","J. Perea, R. Francis, C. Mateo, G. Ortiz","582","J. Perea","R. Francis","C. Mateo","G. Ortiz","10 Octubre 2003","2003","10","10","Gentianaceae","Halenia","bella","Halenia bella","3414","m","Peru","Pasco","Oxapampa, Distrito Huancabamba. Localidad de Lanturachi, sector Santa Barbara","10°20'S","75°04'W","Spanish","Hierba terrestre, flores verdes","Terrestrial herb, green flowers",,
"V0210487F","996","1","0","0","0","0","0","0","0","0","0","0","219",,"Junín",,"Schunke Hacienda, above San Ramón","0","0",,,,,,,,,,,,,,,,,,,,"1","0","1700","1300",,"0","0","0","0","0","Carlos Schunke",,,,,"A28",,"8","1923",,"10","1923",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","2021-10-05 12:32:09","0","40","2024-07-30 12:47:44","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/903/408/V0210487F.jpg","0","2024-07-30 17:00:08","1000-01-01 00:00:00","0","1115474",,"Guettarda","hirsuta",,"OK","625135 HERBARIUM FIELD MUSEUM Smithsonian Institution FROM THE UNITED STATES NATIONAL HERBARIUM PLANTS OF PERU Guettarda trinervia (Kunth) Rose Tree Dept. Junín: semiclose Hacienda, above San Ramón; alt. 1500–1700 meters; dense forest No. F. 281 Collector: CARLOS SCHUNKE August–October, 1953","625135","CARLOS SCHUNKE","F. 281","none","none","none","none","August–October, 1953","1953","none","none","none","Guettarda","trinervia","Guettarda trinervia (Kunth) Rose","1500–1700","meters","none","Junín","semiclose Hacienda, above San Ramón","none","none","Spanish","Tree. Dept. Junín: semiclose Hacienda, above San Ramón; alt. 1500–1700 meters; dense forest","Tree. Dept. Junín: semiclose Hacienda, above San Ramón; alt. 1500-1700 meters; dense forest",,
"V0308500F","995","1","0","0","0","0","0","0","0","0","0","0","219",,"Pasco",,"Oxapampa Province; Puente Paucartambo-Oxapampa road, between Mezapata and Sogormo.","0","0",,,,,,,,,,,,,,,,,,,,"1","0",,"1000",,"162392","0","0","0","0",,,,,,"6970","7","5","1984",,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","2021-10-05 12:32:09","0","40","2024-07-29 08:05:27","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/959/005/V0308500F.jpg","0","2024-07-30 08:49:46","1000-01-01 00:00:00","0","708491","STERCULIACEAE","Guazuma","ulmifolia",,"OK","STERULIACEAE Guazuma ulmifolia Lam. Det. C.L. Cristobal (CTES), 2002 PERU PASCO: Oxapampa Province Puente Paucartambo-Oxapampa road, between Mezapata and Soqomio. Second growth. 1000 m 7 May 1984 D. N. Smith 6970 No. 2254944 FIELD MUSEUM OF NATURAL HISTORY MISSOURI BOTANICAL GARDEN HERBARIUM (MO)","none","D. N. Smith","6970","D. N. Smith","none","none","none","7 May 1984","1984","5","7","STERCULIACEAE","Guazuma","ulmifolia","Guazuma ulmifolia","1000","m","PERU","PASCO: Oxapampa Province","Puente Paucartambo-Oxapampa road, between Mezapata and Soqomio","none","none","Spanish","Second growth","Second growth",,
"V0231692F","994","1","0","0","0","0","0","0","0","0","0","0","219",,"Pasco",,"Oxapampa; Along road Chatarra-Cacazu","1","0","10","32",,"S","075","04",,"W",,,,,,,,,,,,"1","0",,"890",,"205118","304162","7521","0","278128",,,,"R. Ortiz",,"18327","11","7","2003",,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","2021-10-05 12:32:09","0","40","2024-07-27 12:19:44","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/718/526/V0231692F.jpg","0","2024-07-29 04:49:16","1000-01-01 00:00:00","0","49434","ANNONACEAE","Guatteria","ucayalina",,"OK","Revision of Guatteria (Annonaceae) Guatteria ucayalina Huber Det. P.J.M. Maas 2015 L.Y.Th. Westra Guatteria glauca Ruiz y Pav. det. P.H. Maas, 2008 PERU ANNONACEAE Guatteria olivacea R.E. Fr. (?) Det. P.J.M. Maas (U), 2005 Pasco: Oxapampa Along road Chatarra-Cacazu, forest on steep, rocky slopes. 10°32'S 075°04'W 890 m Tree, 15 m. Fruit green. 11 July 2003 H. van der Werff, R. Vasquez, B. Gray, R. Ortiz & N. Davila 13827 MISSOURI BOTANICAL GARDEN HERBARIUM (U) No. 2274637 FIELD MUSEUM OF NATURAL HISTORY","none","H. van der Werff, R. Vasquez, B. Gray, R. Ortiz & N. Davila","13827","H. van der Werff","R. Vasquez","B. Gray","R. Ortiz & N. Davila","11 July 2003","2003","7","11","ANNONACEAE","Guatteria","ucayalina","Guatteria ucayalina Huber","890","m","PERU","Pasco","Oxapampa. Along road Chatarra-Cacazu, forest on steep, rocky slopes.","-10.533","-75.067","Spanish","Árbol, 15 m. Fruta verde.","Tree, 15 m. Fruit green.",,
"V0231960F","993","1","0","0","0","0","0","0","0","0","0","0","219",,"Cajamarca",,"San Ignacio; Distrito Tabaconas. Caserío La Bermeja, entre camino La Bermeja-Huaquillo.","1","0","05","10","00","S","078","32","00","W",,,,,,,,,,,,"1","0","1940","1700",,"0","83273","0","0","0","Eric Rodríguez R.",,,,,"2053","20","11","1997",,,,"20 Noviembre 1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","2021-10-05 12:32:09","0","40","2024-07-27 12:21:39","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/718/800/V0231960F.jpg","0","2024-07-29 04:50:03","1000-01-01 00:00:00","0","49299","ANNONACEAE","Guatteria","pastazae",,"OK","PERU ANNONACEAE Guatteria pastazae R.E. Fr. det. P. Maas & H. Maas (WAG), 2008 Cajamarca: San Ignacio Distrito Tabaconas. Caserio La Bermeja, entre camino La Bermeja-Huancillo. Bosque primario de Neblina. 05°10’00”S 078°32’00”W 1700-1940m Árbol de ca. 15 m de alto, flores verdosas, frutos verdes y granates al madurar. 20 Noviembre 1997 Eric Rodríguez R. & R. Cruz A. 2053 MISSOURI BOTANICAL GARDEN HERBARIUM (MO) Nº 2291652 FIELD MUSEUM OF NATURAL HISTORY","none","Eric Rodríguez R. & R. Cruz A.","none","Eric Rodríguez R.","R. Cruz A.","none","none","20 Noviembre 1997","1997","11","20","ANNONACEAE","Guatteria","pastazae","Guatteria pastazae R.E. Fr.","1700-1940","m","PERU","Cajamarca","San Ignacio,Distrito Tabaconas. Caserio La Bermeja, entre camino La Bermeja-Huancillo. Bosque primario de Neblina.","05°10’00”S","078°32’00”W","Spanish","Árbol de ca. 15 m de alto, flores verdosas, frutos verdes y granates al madurar.","Tree of approx. 15 m in height, greenish flowers, green and garnet fruit when ripe.",,
"V0288587F","992","1","0","0","0","0","0","0","0","0","0","0","219",,"Huanuco",,"Tingo Maria. Radio urbano poblacion (Tingo Maria).","0","0",,,,,,,,,,,,,,,,,,,,"1","0",,"640",,"144724","0","0","0","0",,,,,,"33","24","8","1945",,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","2021-10-05 12:32:09","0","40","2024-07-29 05:16:37","10","40","0","0","0","1000-01-01 00:00:00","1000-01-01 00:00:00","1000-01-01 00:00:00",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","http://fm-digital-assets.fieldmuseum.org/932/358/V0288587F.jpg","0","2024-07-30 07:33:30","1000-01-01 00:00:00","0","574544",,"Samanea","saman",,"OK","#ERROR!","1192583","J.A.Burgos","33","J.A.Burgos","none","none","none","August 24, 1945","1945","August","24","none","Samanea","saman","Samanea saman","640","m","Peru","none","Tingo Maria","none","none","Spanish","Shate-vainilla' Det. hamaco. Tingo Maria. Radio urbano poblacion (Tingo Maria); Alt. 640. Sol arcilloso-profundidad mediana. Selva densa cerca de los margenes de los rios Arbol 12-15 m Dms. 25-30 cm. Flores violetas. I Fruit legumbre. Las vainas de color negro, conhendihuras poco profundas tienen olor que recuchola el de la vanilla.","Shate-vanilla' Det. hamaco. Tingo Maria. Radio urban population (Tingo Maria); Alt. 640. Clay soil-medium depth. Dense forest near the river edges. Tree 12-15 m Dms. 25-30 cm. Violet flowers. I Fruit legume. The pods are black, with shallow indentations have a smell that reminds one of vanilla.",,
